encoded,user
0,8
1,99
2,114
3,242
4,243
5,244
6,254
7,300
8,383
9,388
10,424
11,446
12,487
13,503
14,505
15,507
16,566
17,595
18,626
19,638
20,643
21,651
22,709
23,735
24,776
25,805
26,834
27,882
28,900
29,901
30,929
31,1025
32,1063
33,1075
34,1083
35,1116
36,1129
37,1131
38,1155
39,1167
40,1211
41,1248
42,1343
43,1409
44,1412
45,1424
46,1435
47,1548
48,1558
49,1585
50,1660
51,1674
52,1706
53,1733
54,1790
55,1805
56,1848
57,1903
58,1928
59,2010
60,2012
61,2030
62,2033
63,2041
64,2103
65,2110
66,2132
67,2139
68,2179
69,2189
70,2197
71,2276
72,2287
73,2288
74,2313
75,2337
76,2358
77,2363
78,2399
79,2411
80,2437
81,2439
82,2442
83,2462
84,2589
85,2719
86,2766
87,2789
88,2793
89,2799
90,2891
91,2954
92,2977
93,3017
94,3145
95,3167
96,3192
97,3282
98,3326
99,3329
100,3331
101,3346
102,3363
103,3371
104,3373
105,3416
106,3418
107,3462
108,3471
109,3538
110,3556
111,3569
112,3578
113,3594
114,3640
115,3669
116,3675
117,3693
118,3719
119,3757
120,3814
121,3817
122,3827
123,3840
124,3917
125,3923
126,3965
127,4017
128,4091
129,4092
130,4098
131,4114
132,4131
133,4149
134,4157
135,4197
136,4221
137,4223
138,4334
139,4365
140,11676
141,11687
142,11690
143,11708
144,11718
145,11724
146,11776
147,11788
148,11817
149,11832
150,11916
151,11924
152,11944
153,11993
154,12081
155,12100
156,12112
157,12122
158,12123
159,12137
160,12143
161,12154
162,12194
163,12209
164,12272
165,12282
166,12331
167,12348
168,12362
169,12515
170,12537
171,12538
172,12569
173,12576
174,12619
175,12698
176,12702
177,12707
178,12734
179,12756
180,12784
181,12811
182,12824
183,12835
184,12863
185,12917
186,12945
187,12951
188,12982
189,12990
190,13032
191,13060
192,13080
193,13082
194,13093
195,13094
196,13126
197,13164
198,13173
199,13221
200,13223
201,13273
202,13279
203,13280
204,13331
205,13347
206,13518
207,13551
208,13552
209,13582
210,13600
211,13604
212,13607
213,13664
214,13666
215,13682
216,13709
217,13716
218,13733
219,13850
220,13896
221,13935
222,13973
223,13995
224,14007
225,14049
226,14079
227,14087
228,14173
229,14180
230,14232
231,14271
232,14281
233,14336
234,14374
235,14387
236,14392
237,14393
238,14422
239,14449
240,14451
241,14456
242,14461
243,14517
244,14521
245,14573
246,14638
247,14643
248,14667
249,14672
250,14683
251,14698
252,14744
253,14768
254,14808
255,14897
256,14945
257,14958
258,14998
259,15021
260,15040
261,15046
262,15049
263,15076
264,15093
265,15135
266,15144
267,15150
268,15185
269,15230
270,15408
271,15418
272,15497
273,15500
274,15589
275,15602
276,15651
277,15654
278,15670
279,15819
280,15834
281,15845
282,15918
283,15936
284,15945
285,15957
286,15962
287,15964
288,16009
289,16010
290,16036
291,16046
292,16106
293,16110
294,16121
295,16155
296,16161
297,16220
298,16231
299,16237
300,16244
301,16246
302,16258
303,16263
304,16319
305,16383
306,16417
307,16488
308,16504
309,16510
310,16545
311,16551
312,16585
313,16599
314,16601
315,16634
316,16666
317,16684
318,16708
319,16713
320,16717
321,16718
322,16721
323,16730
324,16749
325,16755
326,16777
327,16781
328,16795
329,16818
330,16835
331,16867
332,16871
333,16876
334,16877
335,16908
336,16916
337,16919
338,16935
339,16943
340,16949
341,16966
342,16982
343,16996
344,16999
345,17003
346,17046
347,17065
348,17068
349,17172
350,17177
351,17180
352,17183
353,17190
354,17224
355,17233
356,17282
357,17330
358,17353
359,17391
360,17402
361,17507
362,17578
363,17596
364,17667
365,17724
366,17761
367,17763
368,17859
369,17894
370,17906
371,17926
372,17950
373,17970
374,18016
375,18038
376,18067
377,18082
378,18095
379,18096
380,18132
381,18134
382,18155
383,18166
384,18167
385,18172
386,18176
387,18203
388,18254
389,18294
390,18309
391,18311
392,18323
393,18366
394,18384
395,18385
396,18395
397,18398
398,18401
399,18412
400,18429
401,18439
402,18464
403,18519
404,18671
405,18710
406,18714
407,18722
408,18850
409,18886
410,18922
411,18945
412,18963
413,18979
414,19011
415,19018
416,19019
417,19085
418,19145
419,19206
420,19220
421,19233
422,19303
423,19336
424,19362
425,19422
426,19429
427,19493
428,19503
429,19570
430,19571
431,19573
432,19605
433,19611
434,19664
435,19681
436,19711
437,19725
438,19760
439,19842
440,19866
441,19935
442,19969
443,19970
444,19972
445,19974
446,19983
447,20005
448,20022
449,20032
450,20034
451,20060
452,20062
453,20106
454,20115
455,20119
456,20147
457,20149
458,20150
459,20172
460,20180
461,20201
462,20245
463,20250
464,20254
465,20265
466,20294
467,20332
468,20336
469,20345
470,20347
471,20350
472,20388
473,20401
474,20409
475,20418
476,20448
477,20462
478,20484
479,20501
480,20561
481,20622
482,20627
483,20629
484,20668
485,20680
486,20703
487,20755
488,20794
489,20801
490,20804
491,20806
492,20916
493,20918
494,20961
495,20971
496,21011
497,21014
498,21031
499,21049
500,21112
501,21116
502,21155
503,21202
504,21207
505,21229
506,21252
507,21356
508,21357
509,21364
510,21368
511,21370
512,21404
513,21406
514,21462
515,21484
516,21490
517,21540
518,21575
519,21576
520,21593
521,21618
522,21659
523,21684
524,21708
525,21750
526,21774
527,21860
528,21875
529,21895
530,21903
531,21912
532,21930
533,21937
534,22012
535,22015
536,22045
537,22062
538,22074
539,22089
540,22107
541,22126
542,22154
543,22167
544,22200
545,22252
546,22296
547,22338
548,22362
549,22365
550,22409
551,22464
552,22495
553,22503
554,22521
555,22532
556,22617
557,22624
558,22625
559,22637
560,22657
561,22695
562,22710
563,22747
564,22773
565,22780
566,22813
567,22818
568,22830
569,22885
570,22888
571,22912
572,22922
573,22936
574,22964
575,22975
576,22981
577,23020
578,23065
579,23070
580,23124
581,23127
582,23128
583,23138
584,23231
585,23271
586,23288
587,23392
588,23408
589,23459
590,23498
591,23511
592,23547
593,23571
594,23582
595,23619
596,23624
597,23631
598,23642
599,23650
600,23652
601,23659
602,23680
603,23699
604,23768
605,23771
606,23835
607,23847
608,23871
609,23872
610,23881
611,23902
612,23933
613,24052
614,24082
615,24090
616,24105
617,24186
618,24188
619,24191
620,24193
621,24194
622,24204
623,24217
624,24342
625,24348
626,24379
627,24391
628,24427
629,24433
630,24452
631,24515
632,24525
633,24570
634,24612
635,24624
636,24627
637,24641
638,24694
639,24697
640,24733
641,24767
642,24768
643,24769
644,24773
645,24778
646,24835
647,24838
648,24846
649,24878
650,24921
651,24922
652,24933
653,24934
654,24945
655,24960
656,24995
657,25009
658,25041
659,25103
660,25109
661,25131
662,25216
663,25217
664,25225
665,25253
666,25261
667,25298
668,25351
669,25359
670,25373
671,25389
672,25395
673,25405
674,25409
675,25410
676,25413
677,25436
678,25443
679,25466
680,25533
681,25545
682,25561
683,25580
684,25583
685,25601
686,25604
687,25674
688,25695
689,25700
690,25711
691,25792
692,25804
693,25827
694,25850
695,25890
696,25893
697,25919
698,25930
699,25957
700,25966
701,25976
702,25981
703,25996
704,26030
705,26057
706,26070
707,26084
708,26124
709,26134
710,26145
711,26146
712,26153
713,26182
714,26196
715,26209
716,26231
717,26240
718,26284
719,26326
720,26371
721,26487
722,26516
723,26517
724,26521
725,26535
726,26538
727,26544
728,26553
729,26561
730,26579
731,26583
732,26593
733,26598
734,26611
735,26612
736,26615
737,26616
738,26620
739,26621
740,26624
741,26628
742,26664
743,26713
744,26751
